track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
1,0,0,0,2,accompaniment,CHA,SDR,3.5118984914517033,ANiMAL - Clinic A,Rap,1_CHA_accompaniment.m4a
1,0,1,0,2,bass,CHA,SDR,3.3301492103703225,ANiMAL - Clinic A,Rap,1_CHA_bass.m4a
1,0,2,0,2,drums,CHA,SDR,-4.1563881012422765,ANiMAL - Clinic A,Rap,1_CHA_drums.m4a
1,0,3,0,2,other,CHA,SDR,0.6763504931097853,ANiMAL - Clinic A,Rap,1_CHA_other.m4a
1,0,4,0,2,vocals,CHA,SDR,-1.5147876338824025,ANiMAL - Clinic A,Rap,1_CHA_vocals.m4a
2,0,0,0,2,accompaniment,CHA,SDR,5.0548765816724925,ANiMAL - Rockshow,Rap,2_CHA_accompaniment.m4a
2,0,1,0,2,bass,CHA,SDR,5.142190237700853,ANiMAL - Rockshow,Rap,2_CHA_bass.m4a
2,0,2,0,2,drums,CHA,SDR,1.2653171718696572,ANiMAL - Rockshow,Rap,2_CHA_drums.m4a
2,0,3,0,2,other,CHA,SDR,1.121469975352254,ANiMAL - Rockshow,Rap,2_CHA_other.m4a
2,0,4,0,2,vocals,CHA,SDR,1.013856321927639,ANiMAL - Rockshow,Rap,2_CHA_vocals.m4a
3,0,0,0,2,accompaniment,CHA,SDR,2.4704004777757014,Actions - One Minute Smile,Pop/Rock,3_CHA_accompaniment.m4a
3,0,1,0,2,bass,CHA,SDR,-4.369964203189002,Actions - One Minute Smile,Pop/Rock,3_CHA_bass.m4a
3,0,2,0,2,drums,CHA,SDR,1.3151441100769965,Actions - One Minute Smile,Pop/Rock,3_CHA_drums.m4a
3,0,3,0,2,other,CHA,SDR,0.907426215965385,Actions - One Minute Smile,Pop/Rock,3_CHA_other.m4a
3,0,4,0,2,vocals,CHA,SDR,1.391597532235884,Actions - One Minute Smile,Pop/Rock,3_CHA_vocals.m4a
